"Featured CMS Callout","Featured CMS Callout"
"Featured Category Callout","Featured Category Callout"
"Featured Product Callout","Featured Product Callout"
"Featured Promotion (Category)","Featured Promotion (Category)"
"Featured Promotion (Product)","Featured Promotion (Product)"
"Featured Promotion (Custom URL)","Featured Promotion (Custom URL)"
"Featured Banner (Category)","Featured Banner (Category)"
"Featured Banner (Product)","Featured Banner (Product)"
"Featured Banner (Custom URL)","Featured Banner (Custom URL)"
"Displays a content feature to highlight a specific CMS page.","Displays a content feature to highlight a specific CMS page."
"Displays a content feature to highlight a specific category page.","Displays a content feature to highlight a specific category page."
"Displays a content feature to highlight a specific product page.","Displays a content feature to highlight a specific product page."
"Displays a content promotion to highlight a specific category page.","Displays a content promotion to highlight a specific category page."
"Displays a content promotion to highlight a specific product page.","Displays a content promotion to highlight a specific product page."
"Displays a content promotion to highlight a custom URL.","Displays a content promotion to highlight a custom URL."
"Displays a content banner to highlight a specific category page.","Displays a content banner to highlight a specific category page."
"Displays a content banner to highlight a specific product page.","Displays a content banner to highlight a specific product page."
"Displays a content banner to highlight a custom URL.","Displays a content banner to highlight a custom URL."
"Highlight Image","Highlight Image"
"Image","Image",
"Desktop Image","Desktop Image"
"Mobile Image","Mobile Image"
"The image should have a max height of roughly 400px.","The image should have a max height of roughly 400px."
"Title","Title"
"Subtitle","Subtitle"
"Description","Description"
"Button Text","Button Text"
"Display Mode","Display Mode"
"Badge Label","Badge Label"
"Show Badge","Show Badge"
"Show special badge.","Show special badge."
"Invert Colors","Invert Colors"
"Custom URL","Custom URL"
"Render the callout image on the left or right. Defaults to left.","Render the callout image on the left or right. Defaults to left."
"Render the callout image in the center or as the background. Defaults to center.","Render the callout image in the center or as the background. Defaults to center."
"Label used for special badge. Default is 'Special'.","Label used for special badge. Default is 'Special'."
"Invert the text color if your background image is dark and you want light text. Default is No.","Invert the text color if your background image is dark and you want light text. Default is No."
"The fully-qualified URL you want the customer to be directed to.","The fully-qualified URL you want the customer to be directed to."
"Left","Left"
"Right","Right"
"Center","Center"
"Center","Center"
"Background","Background"
"CMS Page","CMS Page"
"Select Page...","Select Page..."
"Category","Category"
"Select Category...","Select Category..."
"Product","Product"
"Select Product...","Select Product..."
"Special","Special"
